0,1,2,-1
3,0,7,2
6,-5,11,4
9,-2,9,2
12,-4,2,-11
15,-4,8,-6
18,-4,1,3
21,3,2,8
24,21,3,19
27,-47,127,-60
30,-1364,1965,-101
33,-1756,411,-1141
36,-1660,1196,-2449
39,-2006,4177,-2084
42,-1753,779,257
45,-1233,254,1061
47,-91,-1299,1760
50,1676,-2237,1819
53,2002,-867,1010
56,2132,-1259,1120
59,2084,800,1494
62,1780,121,1007
65,950,-575,-121
68,233,-1181,-1296
71,291,-1780,-767
74,340,-1060,-590
77,631,-795,-441
80,564,-234,-83
83,62,187,-253
86,-47,-366,-255
89,-115,212,-60
92,-104,552,161
95,-127,624,370
98,-218,605,492
101,-307,50,538
104,-417,59,463
107,-472,-45,53
110,-473,30,-109
113,-357,310,-392
116,-245,276,-396
120,3,167,-314
123,73,-257,-140
126,86,-133,-14
129,20,90,-50
133,-71,227,-120
136,-63,255,-130
139,66,194,79
142,101,429,230
145,49,303,375
148,-19,242,405
151,-63,6,332
154,-59,-115,237
157,-33,-147,113
160,-27,-235,-88
163,-11,-221,-204
166,56,-164,-351
169,95,-149,-354
172,128,-111,-350
175,128,-101,-222
178,90,-72,-119
181,-55,-21,-22
184,-99,-76,-10
187,-115,-37,7
191,-109,42,92
193,-96,191,107
197,-37,198,180
200,-30,112,204
203,-6,53,53
205,25,-31,-22
208,55,-40,-52
211,91,-14,11
214,84,-12,13
217,10,1,-92
220,54,-24,-120
223,53,-30,-95
226,30,15,-13
229,0,6,35
232,-43,14,88
235,-86,-68,32
238,-71,-92,18
241,-29,-24,32
244,52,64,17
246,42,126,-51
249,3,23,-189
252,-52,-55,-156
255,-34,-108,-92
258,-3,-94,39
261,1,-34,79
264,3,72,99
267,42,85,113
270,59,64,60
273,53,-5,-29
276,31,-18,-44
279,1,47,-56
282,-32,57,22
285,-9,61,44
288,18,-22,23
291,-4,-38,-41
294,-22,-13,-166
297,-18,-16,-106
300,5,-32,-63
303,21,-40,37
306,6,-36,61
309,-4,1,64
312,2,17,-19
315,7,52,2
318,20,52,38
321,20,29,35
324,-2,-12,23
327,-46,-64,17
330,-26,-68,-2
333,12,-3,-58
336,62,35,-70
339,42,30,-83
341,-26,7,-103
344,-35,-7,-66
347,-25,-28,-3
351,12,0,56
354,18,62,51
357,28,82,97
360,30,66,94
363,15,-38,3
366,1,-65,-21
369,-5,-59,-26
372,-18,-3,-12
375,-27,0,-2
378,-25,-14,-18
381,-11,-6,-59
384,5,4,-133
387,20,13,-115
390,14,14,-45
393,6,-21,77
396,-1,-31,67
399,-7,-34,31
402,22,13,47
404,39,56,62
407,39,87,51
410,10,65,-22
413,-9,-7,-66
416,-26,-84,-66
419,-17,-81,5
422,1,-48,31
425,21,20,40
428,4,29,4
431,-14,27,-43
434,-8,1,-90
437,-4,-13,-85
440,-8,12,-8
443,-15,29,8
446,8,9,54
449,53,-13,89
452,46,-26,57
455,12,-29,-4
458,13,-20,-17
461,7,61,-23
464,-9,5,5
467,-10,-3,7
470,-21,24,-38
473,-19,34,-67
476,-9,17,-59
479,18,0,-16
482,19,-18,29
485,-18,-26,70
488,-24,-34,51
491,-15,-9,19
494,38,32,-23
497,61,57,-40
501,24,32,-62
503,-4,-3,-55
507,-20,-69,11
510,-9,-63,58
513,17,-7,84
515,18,21,54
518,4,37,13
521,-14,44,-63
524,-21,31,-103
527,-3,2,-112
530,3,-4,-30
533,-14,18,-3
536,-21,-8,13
539,30,-33,82
542,49,-44,88
545,46,-6,-3
548,15,27,-38
551,3,39,-44
553,-9,-17,-11
557,-15,-32,-5
560,-13,-6,-26
563,3,22,-19
566,8,39,-9
569,-5,20,11
571,-5,-5,34
574,-5,-39,42
577,-18,-41,-28
580,-17,-34,-52
584,21,37,-6
586,44,53,-1
589,49,49,-16
592,7,-12,-30
595,-17,-30,-10
598,-19,-28,41
601,3,-22,54
604,16,-14,62
607,9,20,32
610,3,29,-8
613,-4,28,-43
616,-4,3,-104
619,-3,-11,-97
622,-10,-10,-6
625,-14,-11,36
628,-2,-12,68
631,15,-16,64
