0,1,-167,2
3,0,-168,2
6,-1,-169,2
9,-2,-166,3
12,-5,-168,3
15,-6,-169,3
18,-7,-173,3
21,-10,-176,2
24,270,-688,172
27,587,429,104
29,1281,-738,127
32,2608,-775,16
35,1657,-340,3616
38,983,290,3622
41,3779,-3434,2096
44,-2711,-2485,-1351
47,-1932,-1076,-2447
50,-1485,5142,-5583
53,-1826,3484,-4328
56,-1813,326,-549
59,-1637,1126,-922
62,-1660,1416,-131
65,-882,-1170,1402
68,-591,-524,1057
71,-543,-658,484
74,57,-596,-279
77,444,-973,-865
80,905,-2513,206
83,755,-2609,386
86,264,-1553,268
88,596,-1131,1005
91,635,-424,1215
94,636,-279,845
98,409,-673,657
101,130,-538,561
104,184,3,335
107,144,443,-315
110,621,932,-375
113,586,1716,7
115,72,979,-181
118,-81,509,25
121,-59,661,-30
124,-98,-422,-278
127,573,69,-651
130,572,-357,-820
133,295,-620,-885
136,271,-327,-781
139,266,-750,-444
142,104,-405,-9
145,87,-585,264
148,172,-900,526
151,-16,-494,239
154,-338,-458,223
157,-642,-70,605
160,-661,193,695
163,-615,467,658
166,-533,702,512
169,-374,463,363
172,-158,625,-55
175,-117,1062,-158
178,-93,472,-177
181,-50,45,-17
184,89,-528,54
187,187,-480,-1
190,319,-737,-71
193,393,-1197,-93
196,384,-810,-244
199,322,-396,-239
202,183,-406,-475
205,205,-358,-475
208,173,60,-402
210,86,92,-179
213,45,-236,59
216,-76,93,252
220,-135,-31,616
223,-184,287,613
225,-196,375,267
228,-104,292,163
231,-67,39,-295
235,-170,-398,-450
238,-161,-442,-487
241,-30,-295,-349
244,78,-247,-203
247,218,-242,-24
250,183,-400,-24
253,101,-396,26
256,-7,-427,80
259,-103,-526,142
262,13,25,253
264,61,195,341
267,-24,295,385
270,-348,-56,220
273,-369,-122,130
276,-257,65,15
280,162,7,-70
282,276,139,-30
285,123,140,19
288,1,14,91
291,-8,-182,128
294,192,-682,-9
297,206,-542,-153
300,187,-335,-322
303,73,-435,-385
306,-70,-464,-532
309,-221,-377,-533
312,-188,-258,-343
315,-26,-6,74
318,-2,63,240
321,8,25,341
324,-85,-243,506
327,-186,-156,540
330,-187,-13,536
333,63,122,378
335,157,189,222
338,125,42,141
341,-26,11,-18
344,-63,-182,-97
347,-41,-332,-332
350,81,-246,-451
353,161,-235,-493
356,152,-337,-398
359,75,-365,-244
362,7,-303,113
365,13,-357,197
368,62,-280,240
372,8,-158,112
374,-52,-84,95
377,-262,48,34
380,-294,-24,19
383,-250,-124,7
386,-118,-79,7
389,-53,-88,76
392,47,-65,251
395,70,-48,291
398,113,-64,274
401,197,-126,65
404,233,-170,-111
407,250,-219,-296
409,125,-228,-437
412,49,-251,-402
415,-25,-510,-276
418,-134,-569,-237
422,-98,-329,-167
425,-25,-98,26
428,-50,3,81
430,-155,-33,153
433,-94,-37,196
436,-88,-73,259
439,-15,50,404
442,-3,57,427
445,-26,-21,397
448,-68,21,234
451,-83,-45,87
454,-48,-189,-184
457,75,-305,-241
460,97,-381,-265
463,89,-293,-303
466,86,-292,-247
469,82,-186,-103
472,124,-197,-42
475,141,-242,-16
478,88,-131,-87
481,7,-120,-88
484,-101,-167,-71
487,-219,-245,-49
490,-190,-328,-16
493,-89,-244,123
496,-79,-182,193
499,-95,18,252
502,-83,83,254
505,-59,49,247
508,41,-122,199
511,110,-158,94
513,164,-147,-11
516,180,-50,-136
519,123,-90,-173
522,53,-267,-203
526,0,-322,-197
529,27,-399,-208
532,60,-345,-212
535,-10,-223,-175
539,-134,-214,-3
542,-158,-262,138
545,-47,-138,160
548,16,18,156
550,45,65,214
553,-5,32,216
556,-72,11,159
559,-129,-138,30
562,-72,-207,-1
565,1,-265,-14
568,72,-302,27
571,87,-270,31
574,73,-267,5
577,-8,-176,-67
580,7,-70,-84
584,144,-81,-130
587,169,-166,-241
590,13,-182,-246
593,-51,-181,-188
596,-121,-222,11
599,-103,-270,87
602,-52,-298,159
605,13,-269,150
607,-27,-197,128
610,-118,-27,81
613,-114,-34,90
616,-79,-82,118
619,36,-121,126
622,61,-103,104
625,53,-30,66
628,37,-53,1
631,43,-94,-57
