0,2,4,-20
3,3,5,-21
6,4,4,-15
10,4,5,-17
13,3,5,-18
16,5,5,-19
19,4,4,-19
22,8,5,-22
25,11,5,-27
27,22,4,-36
30,-690,-678,4239
33,-1496,223,3608
36,-338,3260,-3021
39,-164,-824,-1437
42,-439,-1671,-2757
45,1113,139,-5094
48,2030,-1385,-3629
51,1908,-1115,2543
54,1038,-220,1685
57,694,-643,794
60,-827,-591,-262
63,-472,-156,3136
66,-562,401,2164
69,292,25,293
72,290,-53,1283
75,176,82,1032
78,63,50,844
81,-400,126,-333
84,-356,36,-939
87,137,-128,134
90,536,247,-168
92,264,416,-490
96,167,583,-888
99,-124,1490,106
102,-83,1204,-596
105,-234,904,-606
109,120,1,-334
112,-7,-91,136
115,-318,-524,200
118,-469,-945,507
122,-600,-1354,942
125,-487,-1334,831
128,-109,-1073,-118
131,7,-864,-490
134,134,-244,-339
137,166,-27,-417
140,349,373,-312
143,441,636,-9
146,451,728,99
149,162,1028,-454
152,166,943,-674
155,61,935,-202
157,275,774,-340
160,135,485,-156
163,-101,114,399
166,-267,-27,255
169,-341,-87,412
172,-460,-503,69
175,-380,-711,472
178,-116,-996,464
181,84,-1025,-23
184,106,-822,289
187,157,-529,-669
190,247,-34,-433
193,320,131,-391
196,223,784,-351
199,180,938,41
202,152,876,-161
205,-159,642,208
207,-166,520,147
210,-169,366,-268
213,-189,-5,386
216,-270,-203,85
219,-293,-375,466
223,-211,-470,26
226,-183,-521,51
229,-101,-515,42
232,86,-495,-138
235,235,-387,68
238,155,-219,-158
241,200,-101,-295
244,274,223,-359
247,245,325,-43
250,73,420,307
253,87,530,110
256,62,601,242
259,-107,531,146
262,-142,475,-146
265,-156,316,221
268,-235,-30,176
271,-276,-107,108
275,-197,-122,-131
278,-30,-512,-19
281,29,-630,179
284,77,-689,-33
287,163,-524,-63
290,201,-233,-67
293,174,42,-123
296,152,126,-231
299,129,210,-342
302,46,313,-74
304,35,351,-29
307,24,375,-58
310,-80,327,309
313,-137,305,249
316,-131,287,171
319,-180,12,35
322,-174,-169,-9
325,-107,-163,-145
328,-32,-57,-228
331,10,-107,-84
334,52,-149,15
337,89,-161,-8
340,117,-211,25
343,114,-202,-95
346,88,-174,83
350,0,-58,-96
353,-8,101,-156
356,51,85,-123
359,21,146,-122
362,-10,342,-45
365,28,371,35
368,-6,302,49
371,-56,38,71
373,-53,-33,12
376,-96,-50,140
379,-66,-149,10
382,-58,-196,-113
386,-14,-140,-74
389,-1,-97,-29
392,25,0,87
395,85,-61,-47
398,123,-130,4
402,13,-31,7
404,2,26,-103
408,81,84,-139
411,79,98,-56
414,22,60,-98
417,0,88,-87
420,-4,121,49
423,-21,90,82
426,-42,22,-59
430,-135,-53,-46
433,-146,59,-35
436,-71,97,-34
439,-29,64,-24
442,30,9,37
444,39,-49,189
447,81,-129,209
450,99,-213,-8
453,78,-162,38
456,47,-58,-212
460,7,25,-277
463,10,-15,-166
466,24,52,-113
469,31,96,-27
472,14,59,-42
475,7,62,92
478,-8,51,98
481,-57,50,108
484,-84,6,88
487,-95,23,19
490,-80,65,5
493,-76,124,-147
496,24,125,-70
499,53,29,90
502,51,-122,84
505,66,-125,-37
508,85,-90,-45
511,70,-109,48
514,52,-90,-38
518,42,-72,15
521,3,-105,-167
524,-3,-72,-211
527,-2,112,-124
530,-38,160,-53
533,-44,178,16
536,-52,95,16
539,-72,43,6
542,-79,30,13
545,-31,38,109
548,-19,44,118
551,-4,61,7
554,51,31,-10
557,37,2,-55
560,39,-110,-45
563,81,-117,-19
566,57,-112,-35
569,9,-52,-62
572,26,4,-56
575,12,-28,-113
578,-18,-54,-119
581,-29,22,-68
585,22,67,-27
588,31,17,38
591,-41,12,41
594,-55,-21,-45
597,-62,45,-17
600,-50,84,-20
603,-35,135,-92
606,-32,134,-10
609,-19,93,82
612,43,-55,27
615,79,-115,-7
618,90,-112,69
621,67,-47,84
624,43,-37,-42
628,25,-83,-109
631,2,-5,-151
