0,10,-99,20
3,7,-106,15
6,6,-112,8
9,0,-113,2
12,-7,-128,6
15,-12,-133,8
18,-21,-128,12
21,-20,-129,16
24,-16,-677,163
27,-257,-517,177
30,60,-1178,119
32,451,-1864,-38
35,535,-1458,-123
39,701,-627,2085
42,225,-527,1622
45,853,-662,538
48,1899,-12,-1457
51,1597,1665,-2730
55,-36,1047,-2981
58,-553,2587,-2156
61,-634,1654,-194
64,-1122,1661,886
67,-1988,1479,2052
69,-1574,1301,2123
72,-673,1185,1496
75,164,-281,285
78,162,-353,46
81,591,-595,12
84,597,-1791,482
87,350,-2008,630
90,91,-1950,529
93,-78,-938,-286
96,53,101,-236
99,-129,-723,193
101,-147,-999,473
105,84,-827,525
107,122,-557,600
110,112,421,582
113,-194,347,220
116,-159,1061,-1286
119,-202,757,-1771
122,-165,-623,-1701
125,-232,-484,-826
128,-385,-155,-427
131,-262,72,392
134,-97,-65,392
137,18,-184,421
140,144,-182,532
143,281,-683,428
146,311,-1096,167
149,220,-683,226
152,202,496,365
155,-135,613,267
158,-247,795,255
160,-328,138,337
164,-188,-437,126
167,93,-519,-33
170,385,31,-178
173,279,216,-139
176,74,382,-365
179,-195,141,-370
182,-105,-151,-356
185,-103,-179,-422
188,-152,-466,-339
191,-224,-555,-85
194,-204,-684,10
197,138,-354,103
200,240,-150,96
203,300,0,171
206,216,205,358
209,174,-132,614
212,74,6,690
215,-99,142,521
218,-124,215,346
221,-172,142,-325
224,-176,15,-601
227,-192,-259,-738
230,-158,-238,-532
233,-89,-305,-276
236,-40,-339,154
239,120,-262,290
242,309,-147,372
245,362,43,232
248,191,99,106
251,-133,-27,-134
254,-111,-225,-299
257,-36,-484,-47
260,-56,-246,39
263,-89,246,104
266,-249,310,48
269,-172,225,81
272,-92,-62,192
275,51,-226,228
278,83,-249,331
281,119,-233,151
284,92,-223,3
287,96,-273,-366
290,68,-318,-435
293,19,70,-428
297,-22,205,-268
299,-59,45,-55
303,-46,-107,158
306,-48,-446,293
309,-116,-330,254
312,-169,-44,240
316,-36,26,102
319,92,115,37
322,239,65,-52
325,233,-64,-81
328,56,-184,16
331,-87,-135,35
334,-174,-145,66
337,-147,-242,0
340,-115,-321,-42
343,-159,-307,-126
346,-168,-249,-75
349,-103,-78,75
352,168,14,119
355,261,64,158
358,255,57,-23
360,132,65,-122
363,17,94,-144
366,-100,-83,-125
369,-106,-258,-107
372,-59,-349,-57
375,-43,-307,77
378,-23,-292,158
381,4,-102,305
384,-52,26,267
387,-120,24,158
391,-46,-109,-17
394,26,-212,-7
397,80,-99,-13
400,86,-30,-69
403,50,-118,-163
406,14,-135,-174
409,-8,-129,-148
412,-14,-64,49
415,-18,-91,135
418,-15,-89,135
421,-91,-143,46
424,-166,-235,-22
427,-146,-289,-100
430,-18,-212,-69
433,245,47,64
436,296,113,120
438,241,90,139
441,28,-114,102
444,-60,-157,73
447,-121,-148,29
450,-176,-134,-83
453,-145,-223,-96
456,-129,-208,9
459,-169,-187,101
462,-134,-178,180
465,82,-153,151
468,197,-66,79
471,266,-58,-34
474,225,-31,-271
477,104,-16,-297
480,-87,-50,-140
483,-107,-129,-7
486,-97,-209,95
489,-107,-215,242
492,-90,-125,259
496,-41,-126,156
499,-45,-41,78
502,0,-50,-42
505,21,-132,-61
509,24,-126,-84
512,39,-20,5
515,104,-45,64
517,81,-150,106
520,-40,-311,95
523,-68,-213,28
526,-51,-74,-35
529,-3,-22,-102
532,-13,-57,-97
535,-104,-105,-64
538,-131,-144,1
541,-138,-188,83
544,-6,-118,138
547,98,-24,94
550,187,37,33
553,188,-81,-39
556,104,-163,-69
559,-58,-180,-37
562,-80,-173,23
565,-94,-223,78
568,-111,-195,129
571,-119,-144,113
574,-130,-10,55
577,-113,-34,20
580,-52,-76,20
583,159,-88,31
586,190,-103,-7
589,91,-125,-167
592,30,-116,-207
595,7,-124,-166
598,12,-140,47
601,-10,-150,132
604,-110,-83,156
607,-116,-75,102
610,-112,-112,39
613,-45,-194,-36
616,-11,-193,-43
619,12,-94,2
622,14,-43,42
625,33,12,66
627,71,22,73
630,84,-91,84
633,73,-227,80
