0,1,2,3
2,4,4,3
5,0,3,3
8,1,-2,1
11,3,2,8
14,0,2,1
17,3,5,4
19,8,4,16
22,4,-9,-3
25,230,65,-31
28,474,-393,1210
31,767,-396,877
34,1120,-556,1448
37,460,-158,564
40,167,1438,-1062
43,-827,529,-483
47,-734,-168,-986
50,-243,-179,-1597
53,-133,-117,-1082
56,-368,37,61
59,-458,68,932
62,-409,403,45
65,-254,-66,55
68,-230,-510,389
71,-312,-334,304
74,-323,-364,-37
77,-279,-156,-14
80,-76,-153,81
83,36,-135,-290
86,211,-131,-660
89,228,-31,-87
92,283,147,273
95,361,196,182
98,350,294,168
101,224,163,275
104,147,107,89
106,57,76,-201
109,-96,55,116
112,-112,65,306
115,-97,45,251
118,-63,75,34
121,-64,53,62
124,-63,45,173
127,-63,63,44
130,-67,29,-81
133,-67,-52,-143
136,-15,-64,-223
139,1,-96,-280
142,17,-181,-147
145,48,-206,0
148,93,-220,137
151,144,-185,64
154,116,-121,53
158,33,25,-5
161,-7,104,-38
164,-62,159,-2
167,-41,165,5
169,-1,106,83
172,-30,68,51
175,-35,34,67
178,-55,19,53
181,-47,20,14
184,-47,6,-30
187,-24,10,-86
190,-45,-33,-81
193,-45,-13,-39
196,-41,8,-34
199,-5,11,41
203,25,6,17
206,41,5,36
208,41,-8,89
211,34,-24,68
214,49,-22,44
217,58,-31,-29
220,44,-27,-38
223,20,-38,-70
226,-22,-52,-58
229,-25,-51,-36
232,-2,-24,13
235,11,8,19
238,5,41,34
241,-19,73,52
244,-21,52,18
248,-27,22,-31
251,-33,19,-72
254,-18,39,-31
257,-3,52,29
260,1,33,96
263,15,-4,80
266,21,-37,9
269,29,-22,-30
272,28,-36,-53
275,37,-37,-38
278,35,-41,-21
281,29,-43,-2
284,10,-53,-14
287,0,-32,-18
290,-49,20,2
293,-63,30,7
296,-70,22,-3
299,-43,24,-23
302,-33,41,-7
305,9,65,11
308,31,74,29
311,44,72,55
314,54,24,78
317,64,4,59
320,54,-7,26
323,-3,-51,-26
326,-25,-60,-43
329,-35,-78,-65
332,-42,-79,-46
335,-39,-51,3
338,-13,6,10
341,-2,21,-1
344,8,21,6
347,13,26,18
350,18,26,22
352,8,20,-5
355,2,14,-15
358,0,7,-6
361,2,26,28
364,2,55,42
367,4,54,43
370,4,12,25
372,-3,5,8
375,-9,-10,-13
378,14,-37,-42
381,28,-40,-30
384,29,-38,19
388,5,-24,31
391,-11,-27,29
394,-29,-27,-3
397,-34,-21,-20
400,-31,-1,-56
403,-25,4,-50
406,-17,17,-8
409,16,64,12
412,34,74,38
416,55,52,40
418,44,44,49
421,17,13,54
424,-1,-10,41
427,-19,-32,21
430,-38,-42,-27
433,-41,-44,-49
436,28,-30,-36
439,-19,-19,-14
442,-5,-18,14
445,12,5,-9
448,22,5,-32
451,30,-4,-12
454,29,0,6
457,25,-2,15
460,-4,18,-2
463,-7,26,4
466,-6,33,15
469,-8,35,36
472,-15,27,38
475,-21,18,35
478,-22,23,-10
481,-14,21,-24
484,3,-4,-21
487,30,-19,3
489,30,-28,19
492,11,-46,30
495,-1,-53,21
498,-7,-53,-4
501,-25,-42,-39
504,-25,-21,-48
508,-13,21,-43
511,-7,33,-26
514,4,47,13
517,23,56,27
520,25,49,38
523,26,31,52
525,22,27,53
528,10,13,45
531,-23,0,8
534,-29,-10,-6
537,-29,-23,-20
540,-16,-41,-18
543,-12,-37,-12
546,4,-16,-9
549,7,-4,-21
552,9,3,-27
556,21,-10,-12
559,27,-9,21
562,19,8,27
565,7,12,16
568,-3,3,-10
571,-13,5,-1
574,-19,13,27
577,-17,45,28
580,-14,60,22
583,-10,37,2
586,-7,19,-12
589,6,-17,-2
592,26,-24,11
595,28,-33,20
598,20,-32,25
601,7,-45,12
604,-7,-57,-3
607,-23,-32,-34
610,-19,-4,-45
613,-8,22,-32
616,-6,29,-23
619,2,34,-12
622,16,23,17
625,20,21,30
627,22,22,39
630,21,37,45
