0,2,4,6
3,2,4,2
6,1,4,3
9,1,4,2
12,2,2,4
15,3,0,4
17,0,2,4
21,4,4,2
24,2,4,3
26,435,-320,437
29,462,1749,-1641
32,2528,3517,-1073
35,1261,4242,-1944
38,-1222,3823,-3065
41,-2187,-4314,3364
44,-1510,-6993,4371
47,62,-6993,3510
50,808,-2653,1950
53,537,-208,321
56,-122,767,39
59,-217,-115,-2217
62,132,273,-1365
65,581,757,2444
68,375,703,1540
71,30,964,207
73,-266,920,-944
76,-438,1061,-957
79,-481,703,-907
82,-212,326,-794
85,-404,816,6
88,-610,1334,265
92,-814,1298,-641
95,-701,1041,-63
98,-330,685,697
101,-88,485,859
105,-13,28,512
108,-188,-32,457
111,-108,-194,83
114,83,-256,-484
117,328,-726,-511
120,481,-849,-95
123,581,-957,341
125,397,-1106,-125
128,243,-1042,-642
131,201,-600,-522
134,228,-250,-262
137,124,44,-26
140,-125,386,142
143,-207,362,129
146,-249,228,135
149,-242,280,50
152,-187,316,84
155,-131,345,263
158,-67,380,373
161,-72,347,77
164,-50,308,-271
167,54,9,-279
170,84,-76,-171
173,158,-167,129
175,159,-139,281
178,124,-106,347
181,37,-129,120
184,40,-121,-54
187,33,-121,-121
190,-53,-27,33
193,-52,5,53
196,-32,-42,-151
199,-49,-8,-227
202,-49,63,-238
205,37,189,-116
208,59,180,-6
211,50,75,193
214,-12,-21,185
217,-38,-161,-39
221,-48,-271,-48
224,7,-132,75
227,13,-31,103
230,40,48,92
233,42,104,-30
236,62,132,-23
239,67,140,33
241,61,115,-11
244,53,83,-19
247,47,42,32
250,19,21,56
253,-21,9,-10
256,-28,4,-66
259,-68,-10,8
262,-58,-20,40
265,-23,-104,-10
268,-2,-115,-50
271,-15,-73,-84
274,-37,60,-58
277,-10,82,-21
280,74,-3,169
283,97,-83,238
286,96,-138,211
289,31,-133,-11
292,3,-50,-83
295,-21,114,-116
299,1,126,-138
301,10,109,-75
305,-28,84,-23
308,-13,63,91
311,3,12,102
314,3,0,117
317,24,42,110
320,6,40,80
323,-30,2,39
326,-49,-89,-68
329,-18,-115,-45
332,41,-49,-38
335,59,12,-64
338,65,74,-58
341,27,10,28
344,16,-48,18
346,24,-81,-1
349,36,-66,64
352,29,-18,121
355,17,8,70
359,-40,5,-31
362,-65,48,-83
365,-52,138,-83
368,-16,123,-66
372,0,79,1
374,-8,67,73
377,25,-26,134
380,45,-80,99
383,66,-105,67
386,69,-73,56
389,50,-39,31
392,-10,-9,-86
395,-38,-37,-105
399,-24,-58,-42
402,-2,-38,-53
405,10,-3,-4
408,-2,89,48
411,-8,118,63
415,15,72,66
417,30,5,52
420,21,-29,63
423,4,-19,46
426,-5,-11,-4
429,-22,3,-61
432,-23,21,-83
435,-29,94,-24
438,41,79,-52
441,30,8,68
444,24,-96,134
447,26,-119,88
450,25,-137,78
453,29,-84,-35
456,35,5,-15
458,16,86,-76
461,-18,129,-160
464,-19,76,-116
467,-18,-44,-3
470,-20,-53,25
473,-14,-50,69
476,11,41,104
479,21,101,92
482,10,125,64
485,7,9,-8
488,34,-43,7
491,52,-80,31
494,25,-50,15
496,17,-25,-28
499,13,-17,-37
503,-30,-2,-28
506,-26,24,-16
509,10,10,17
512,13,-10,66
515,20,-23,71
518,29,-38,22
521,25,-42,-25
524,-2,40,-48
527,-7,80,-45
530,0,94,-16
533,-7,53,25
536,-12,39,54
540,8,0,56
542,6,-39,63
546,10,-49,65
549,28,-20,61
552,28,-26,-16
555,14,-31,-41
558,11,-18,-29
561,29,6,-7
564,26,-55,-13
568,1,0,-30
571,-13,-6,-14
574,-32,17,8
577,-23,25,29
579,-8,15,74
582,5,18,85
585,18,22,49
588,46,24,-35
591,35,15,-30
594,18,12,-15
597,2,23,0
600,10,13,6
603,11,-5,24
605,-4,-49,86
608,-6,-65,80
611,0,-71,20
615,-3,-42,-1
618,0,56,-51
621,29,67,-80
624,30,64,-51
628,13,13,-4
631,1,-6,43
