0,4,-106,8
3,5,-106,7
6,3,-107,8
9,3,-104,7
11,3,-105,8
15,5,-108,8
18,4,-107,8
21,4,-107,10
23,4,-106,9
26,3,-104,6
29,-1374,-181,-232
32,-2005,536,-249
35,2033,4664,-409
38,-5864,7372,-3159
41,-3610,-7846,-4835
44,1260,-7907,-1479
47,2646,-7907,4734
50,-1138,1919,1321
53,-1546,7914,-921
56,-1463,8091,-911
59,3264,3490,816
62,1980,1906,2328
65,1537,246,1749
68,1294,-4099,269
70,1040,-2298,-654
73,-44,-598,-450
76,-657,1587,-45
79,-278,-5010,593
82,1063,-2292,1503
85,741,-3452,1027
88,657,-3769,636
91,-85,-1539,-97
94,-695,-1082,-114
97,-715,636,571
100,499,957,108
103,1147,908,730
106,768,-575,174
109,-2,3132,95
112,517,588,111
115,169,1924,193
117,36,561,150
120,147,-351,165
123,58,-781,-296
126,-436,-925,-1036
129,-625,-57,-1295
133,-58,-267,-464
136,83,-852,44
139,223,-1262,-192
142,167,-1481,-300
145,170,-98,-437
148,12,257,-5
151,89,-338,757
154,274,-492,1236
157,63,-175,660
160,-382,241,-1317
163,-396,-12,-1563
166,-422,260,-942
169,-448,513,-451
172,-278,33,185
175,-123,-346,321
178,-92,-671,325
181,25,-409,-67
184,165,-123,-82
187,288,2,223
190,-8,29,151
193,-20,-600,239
196,56,-362,-145
199,18,134,-229
202,61,614,387
205,-214,569,461
208,-385,-14,547
212,-279,45,186
215,-199,63,124
218,-266,302,175
221,-226,465,275
224,-149,502,441
227,-121,554,433
230,-2,107,549
233,35,-111,381
236,37,-228,223
239,-80,-277,-87
242,55,-359,-177
245,260,-320,-302
248,350,-403,-516
251,410,-960,-654
254,336,-812,-885
257,151,-708,-746
260,33,-270,-196
263,46,-227,-4
266,73,-132,157
269,-115,-56,105
272,-119,-168,165
275,-110,-149,268
278,-154,-71,260
281,-122,-16,114
285,52,153,-189
288,21,223,-272
291,78,109,-209
293,53,-180,-90
296,4,-360,103
299,-16,-364,376
302,45,-12,534
305,-39,16,380
308,-157,-78,232
311,-192,-269,127
315,-4,-246,-4
318,84,174,-155
321,104,216,-180
323,75,143,-234
326,-101,26,-292
329,-32,-153,-177
332,46,-298,-40
335,39,-399,126
338,-15,-478,158
341,-78,-268,51
344,-22,-144,44
347,112,25,71
350,148,-68,103
353,28,-281,171
356,-51,-294,182
359,-133,108,26
362,-156,147,-46
365,-113,170,-106
368,21,39,-81
371,2,-182,-38
374,1,-453,40
376,6,-508,51
379,47,-431,-18
382,182,-247,-229
385,246,-222,-186
388,159,-70,-9
391,68,-2,-29
394,-23,12,-99
397,-131,-144,-126
400,-160,-266,15
403,-92,-143,322
406,-124,-46,367
409,-152,52,371
412,-150,136,341
415,-66,83,260
418,62,-21,148
421,226,-30,14
424,194,-2,-61
427,85,-139,-189
430,-33,-174,-334
433,-21,-231,-265
436,22,-384,-110
439,61,-469,-80
442,32,-372,-42
445,-56,-270,-44
448,10,-206,-45
451,141,-91,42
454,113,-80,109
457,67,-60,135
460,-20,35,162
463,-117,180,172
466,-137,235,126
469,-105,142,144
472,-87,-69,144
475,-99,-131,73
478,-64,-310,40
482,50,-352,-44
485,110,-364,-227
488,210,-341,-265
491,229,-241,-241
494,153,-65,-185
497,63,-42,-138
500,3,-205,72
502,-131,-255,144
505,-167,-275,167
508,-159,-198,233
511,-136,17,179
514,-125,257,112
517,-31,156,111
520,37,-8,144
523,104,-69,147
526,105,-3,93
529,91,-24,48
531,60,-208,-12
535,-26,-285,-139
538,-32,-391,-189
541,6,-362,-265
544,28,-341,-198
547,34,-232,16
550,28,-182,15
553,36,-109,-10
556,60,-153,25
559,53,-90,64
563,-11,11,80
566,-50,101,122
568,-89,152,181
571,-101,146,176
574,-114,-61,195
577,-91,-121,163
580,-64,-170,77
583,-35,-272,-58
586,58,-279,-108
589,110,-268,-162
592,213,-250,-196
595,221,-253,-171
598,160,-156,-84
601,-1,-97,-41
604,-35,-91,1
607,-107,-161,32
610,-142,-248,34
613,-137,-259,120
616,-86,-95,133
619,-62,76,123
622,26,153,120
625,78,93,150
627,103,-3,155
630,81,-88,56
