time,x,y,z
0,341,538,-559
3,772,461,2078
6,554,-444,1222
8,513,-1004,551
12,-935,-1505,-2732
15,-857,-423,-3098
18,-796,-104,-1849
21,-555,493,992
24,194,462,1370
27,483,445,1320
30,587,806,1251
33,24,578,918
36,-58,842,981
39,-386,1024,1025
42,-384,-129,625
46,-152,-486,331
49,85,-1071,-971
52,104,-436,-1328
55,54,-7,-1657
58,133,142,-152
60,244,280,168
63,358,-89,161
66,272,-135,-45
69,178,-103,55
72,-173,344,275
75,-139,316,260
78,-128,258,131
81,-30,-173,-184
84,-40,-341,-120
87,-76,-204,-70
90,-56,175,-4
93,106,468,-29
96,142,209,-6
99,77,-455,12
102,-16,-583,36
106,-105,-214,43
109,-96,47,94
111,-85,331,93
114,76,247,-53
117,123,110,-78
120,118,-63,-97
123,-42,-40,-3
126,-80,54,29
129,-73,58,31
132,-41,-9,-24
135,6,-219,35
138,33,-191,49
141,32,-71,40
144,17,210,-22
147,46,195,-96
150,48,-67,-127
153,5,-183,-26
156,-34,-106,53
159,-70,-2,56
162,-61,141,17
165,19,147,-72
168,65,28,-41
171,72,-179,74
174,-17,-161,31
177,-76,-39,-7
180,-61,-27,-18
183,-21,-114,-5
187,103,-167,64
189,128,-171,68
192,62,-17,38
195,8,83,13
198,-18,111,-16
201,19,-28,12
204,49,-125,57
207,73,-200,101
210,97,-142,61
213,119,-74,1
216,156,22,-109
218,181,23,-107
221,177,8,-70
224,81,-9,21
227,-8,42,39
230,-82,128,21
233,-117,126,-60
236,-65,81,-96
239,97,81,-23
242,151,102,34
245,176,52,47
248,121,50,25
251,84,10,-2
253,36,-175,-47
256,31,-281,-24
259,24,-334,50
262,-6,-199,53
265,-22,-92,38
268,-8,77,-32
271,57,108,-29
274,76,81,-4
277,27,65,14
280,-33,109,15
283,-94,181,-9
286,-155,183,-42
289,-150,141,-6
292,-116,33,56
295,-115,-2,30
298,-128,11,-39
301,-162,44,-63
304,-163,41,-40
307,-141,-22,10
310,-138,-30,6
312,-150,22,-5
316,-185,77,-11
319,-179,153,-31
322,-86,146,-43
325,-24,56,-27
328,73,-2,-17
331,101,-32,10
334,95,-21,16
337,83,-28,3
340,66,-63,-25
343,50,-83,5
346,31,-94,30
349,-31,-61,32
352,-63,-22,13
355,-86,64,4
357,-86,58,23
360,-61,29,35
363,-6,-2,-14
366,13,21,-21
369,34,49,-13
373,54,79,1
375,43,51,3
378,29,-60,-31
381,20,-101,-26
384,12,-73,5
387,-18,-17,11
390,-24,22,6
393,-20,8,6
396,-18,-5,8
