0,2,4,-10
4,3,4,-10
7,1,4,-8
9,5,4,-8
12,2,4,-10
15,2,4,-10
19,4,4,-10
22,2,4,-9
25,139,61,296
27,-254,114,-556
30,-161,-111,-956
33,424,-203,-616
36,1698,-415,1592
39,4125,313,3547
42,4913,4511,1743
45,3359,5655,3789
48,-2294,2136,-7944
51,-3381,-1378,-5110
54,-2822,-1891,-1216
57,-2200,-6054,900
60,-2559,-6503,5445
63,-1942,-1479,74
66,-2547,-1033,813
69,-1762,-411,-1460
72,336,-12,-3023
75,593,-178,-858
78,1356,-1374,314
81,886,-958,-922
84,711,465,-516
87,-22,1658,-863
90,-354,1604,-1505
93,24,1155,-395
96,658,1349,-728
99,62,1762,-880
102,366,1369,-1024
105,376,1104,-624
108,228,1167,-731
111,-573,959,959
113,-158,591,890
116,-206,428,-519
119,-444,282,864
122,-416,-233,968
125,-329,-940,246
128,269,-886,1500
131,141,-955,1465
134,80,-301,955
137,-145,-349,26
140,-84,-608,-519
143,251,-614,-1028
146,512,17,-1088
149,528,30,15
152,308,128,322
155,21,246,-665
158,-494,-193,-821
161,-232,-328,-285
164,315,-562,101
167,110,-606,578
170,-54,-771,811
173,-192,-527,315
176,-255,-148,-71
179,-358,325,-806
182,-94,618,117
185,29,749,683
188,-38,1053,976
191,-83,802,708
194,73,531,-358
196,105,621,-997
199,171,467,-1192
202,377,439,-783
205,198,123,494
208,75,-181,744
211,-90,-524,1041
214,-145,-1022,-219
217,-149,-1075,-708
220,-80,-1147,-69
223,-94,-659,117
226,-116,-108,583
229,67,282,148
232,137,357,36
235,203,410,21
238,144,455,-330
241,167,390,-606
244,-43,665,-665
247,-26,708,-404
250,45,581,225
253,-10,407,-150
256,-220,85,-12
260,-397,-573,187
263,-367,-822,516
266,-110,-865,504
269,-55,-841,293
272,8,-467,19
275,135,-342,-179
278,280,-156,-115
281,201,250,-145
284,229,338,-6
288,208,396,-164
291,147,482,-103
294,-91,544,-194
297,-120,581,-355
300,-87,595,-319
303,-48,470,-224
306,12,264,5
308,30,-181,370
311,-48,-365,465
314,-99,-628,693
317,-218,-864,77
320,-177,-804,-297
323,-125,-344,-206
326,-114,-161,-20
330,-67,-116,-67
333,181,158,-200
336,293,283,-173
338,267,408,32
341,197,382,75
344,127,323,-19
347,12,364,-444
350,-134,393,-397
353,-180,435,-168
356,-53,245,401
359,-63,10,285
362,-94,-220,246
365,-143,-542,390
368,-169,-374,-14
371,34,-352,-35
374,50,-258,-140
377,35,-95,-179
380,153,-71,-94
383,204,-4,-67
387,128,139,-3
390,97,160,-85
393,66,130,14
396,13,134,87
399,-223,215,-157
402,-217,243,-197
405,-130,265,22
408,-3,155,66
411,10,64,112
414,99,6,112
417,115,-42,194
420,72,-155,286
423,-89,-411,36
426,-110,-427,-283
429,-68,-336,-109
432,-75,-200,5
435,-43,-18,-35
438,112,256,-48
441,179,337,-65
444,114,284,4
447,65,147,40
450,23,-6,57
452,-10,-78,-1
456,-64,-12,-182
459,-104,71,-6
462,-47,198,169
465,-18,208,54
469,-36,14,63
471,-55,-120,74
474,-40,-252,-106
478,-25,-215,-195
481,-21,-83,-73
484,49,-40,63
487,137,-15,114
490,136,63,81
493,76,72,51
496,10,-53,43
499,-19,-87,36
502,-29,-92,-156
505,-52,2,-284
508,-106,57,-279
511,-96,177,-55
514,1,223,92
516,82,233,154
519,34,210,95
522,36,127,74
525,33,9,87
528,23,-248,140
531,-89,-289,16
534,-108,-204,-172
537,-40,-128,-82
540,-28,-6,-6
543,7,139,-32
546,74,165,-9
549,142,117,-11
553,81,-70,-28
556,19,-211,-105
559,9,-179,-35
562,21,-116,45
565,-43,137,-68
568,-31,249,-85
571,0,294,0
574,-43,212,130
577,-69,115,133
580,-42,-110,9
583,-78,-160,-81
586,-121,-55,-64
589,-8,0,-13
592,79,23,88
595,140,-31,61
598,140,-69,31
601,69,-89,14
604,12,-105,-30
607,-16,-120,-120
610,-16,-93,-104
613,-61,-47,-159
616,-141,84,-183
619,-62,156,-84
622,22,195,158
626,43,187,211
629,33,152,159
631,70,57,-19
