0,-3,5,10
3,-4,4,10
6,-3,3,7
9,-2,3,10
12,-1,4,9
15,-4,4,10
18,-3,5,10
21,-4,4,9
24,-4,4,11
27,-2,4,12
30,878,182,-1119
33,-3000,703,-760
37,702,-2079,-4087
40,-914,-2509,-3339
43,-1193,-781,-906
46,-607,504,7257
49,80,1102,6775
52,-99,750,-104
55,474,270,258
58,1468,1361,959
61,824,1448,1237
64,39,1026,-13
67,448,1089,32
70,1048,843,1546
72,602,760,-1172
75,865,455,-3626
78,811,-152,-553
81,-10,-173,591
84,-251,-297,-98
87,149,89,-1035
90,259,115,-118
93,61,2,890
96,-65,-189,-130
99,-376,-2,-714
102,-547,-235,2083
105,-443,-653,1411
108,-189,-890,167
111,-294,-813,-355
114,-255,-747,157
117,-143,-157,-263
120,-61,-95,-783
123,-23,43,-293
126,364,113,21
129,446,70,-208
132,338,70,-331
136,-69,8,-85
139,21,123,10
142,1,49,-48
145,-10,74,73
148,-119,217,321
151,-184,405,509
154,-304,417,266
157,-285,432,310
160,-104,443,-15
164,14,-43,105
167,8,-94,-204
170,121,-134,-99
173,172,-274,-23
176,225,-396,-134
179,288,-458,-202
182,203,-203,-37
185,71,-108,23
188,-13,-5,-44
191,-149,54,-30
194,-219,-16,18
197,-132,57,132
200,-104,297,118
203,-112,351,219
206,-122,310,141
209,-47,237,51
212,-28,132,25
215,28,-102,-108
218,89,-117,-21
222,46,-248,-116
225,83,-276,-45
228,79,-304,-184
231,114,-217,-14
235,33,-99,98
238,50,-51,204
241,0,-42,216
244,-38,65,-76
248,-81,333,-69
251,-67,334,-66
254,-109,408,53
257,-61,319,81
260,-29,124,-25
263,-25,12,-16
266,-5,-101,-25
269,11,-99,142
272,44,-165,84
275,19,-346,78
278,-5,-314,-8
281,9,-189,11
284,36,-137,-15
287,53,25,-28
291,11,84,-63
294,25,138,-103
297,18,171,-53
300,10,139,-7
303,-16,193,145
306,-10,224,94
309,-3,182,98
312,-51,76,46
315,-81,-7,-56
319,-94,-237,-6
322,-36,-43,22
325,-29,-32,52
328,38,-122,51
331,88,-132,-23
334,82,-128,-45
337,64,37,-26
340,79,128,26
343,56,86,-55
346,39,15,11
349,-3,55,29
352,-89,73,-31
355,-65,91,-21
358,-57,125,57
362,-66,19,100
365,-77,12,19
368,-28,27,-7
371,-5,-56,16
374,27,-51,49
377,34,-65,67
380,70,-82,105
383,65,-54,87
386,38,-43,4
389,-36,-49,-97
392,-34,-13,-142
395,4,-24,-10
398,26,4,8
401,39,70,21
403,27,109,74
407,-15,89,24
410,-12,69,24
413,-24,29,-28
416,-45,-13,50
419,-61,-12,68
422,-70,29,56
425,4,-45,24
428,11,-25,-6
431,18,4,27
434,25,-5,-51
437,33,5,-5
440,66,-37,54
443,36,-81,54
446,38,-42,61
448,35,-6,-57
452,2,62,-42
455,-11,79,-25
458,-55,3,6
461,-58,-29,-14
464,-62,78,-21
467,-28,45,-5
470,-18,6,-2
473,4,56,81
476,17,61,92
479,25,20,86
482,29,-113,90
484,5,-91,26
487,-15,-56,-8
490,-9,-34,-57
494,-7,-13,-83
497,28,58,-55
500,31,55,-19
502,30,-30,68
506,26,1,26
509,13,44,15
512,-8,30,-6
515,-17,-13,-21
518,-42,-20,52
521,-73,5,34
524,-33,66,24
527,-6,70,-9
530,-39,7,10
532,-34,-27,21
536,22,-34,2
539,42,-41,32
542,51,-56,22
545,50,-46,34
549,24,6,61
552,19,5,33
554,-3,-30,-39
558,-30,8,-47
561,-50,49,-63
564,-33,47,-19
567,-38,32,0
570,-38,59,57
572,-21,67,62
575,15,42,36
578,43,-35,90
581,11,-28,87
584,-12,1,57
587,-13,-41,-23
590,-5,-35,-58
593,3,-7,-28
596,23,-22,-13
599,21,-41,19
602,21,-24,48
605,3,15,16
608,-2,40,22
611,19,19,-41
614,8,-13,-34
617,-8,-16,28
620,-32,35,19
623,-31,88,22
625,-16,82,6
628,-22,23,15
631,-28,-12,8
