0,2,-16,4
2,8,-21,5
5,12,-21,0
8,15,-29,2
11,19,-13,5
14,17,-31,10
17,18,22,7
20,87,13,4
23,105,-87,6
26,294,227,-36
29,73,1078,-111
32,249,1033,-32
35,891,1561,-19
38,1105,1687,470
41,1308,1635,698
44,1539,-140,804
47,275,-1322,744
50,-770,-2735,529
53,-1522,-2698,-1110
56,-2243,-2365,-1215
59,-1942,-1569,-877
62,-1171,-1594,-1208
65,-909,-1247,-1018
68,-98,1054,292
71,512,1104,658
74,788,-59,906
77,793,266,308
80,656,548,-264
83,494,1226,-273
86,357,1570,-100
89,231,603,317
92,225,558,367
95,76,79,244
98,-221,-214,97
101,-111,63,324
104,-81,2,251
106,28,46,97
109,103,-63,-124
112,50,-493,-405
115,5,-420,-292
118,-246,-346,-279
122,-426,-671,-165
125,-259,-423,-72
128,-39,-356,86
131,44,71,328
133,16,93,357
136,-87,5,258
139,-191,78,66
142,-136,330,-69
145,16,567,-63
148,275,378,-152
151,302,29,-109
154,256,120,-111
157,-57,-150,-68
160,-146,-378,48
163,-66,-188,52
166,139,135,65
168,192,105,-32
171,189,-196,67
174,120,-294,169
177,-26,-299,218
180,-192,51,32
183,-154,95,-189
186,218,25,-156
189,367,128,-39
192,365,59,51
194,117,-7,12
197,-100,135,-60
200,-198,31,-69
203,-115,19,115
206,4,-134,132
209,47,227,1
212,-78,356,-36
215,-166,57,-72
218,-319,-203,-2
221,-243,-338,29
224,-95,-426,50
227,52,-356,-110
230,300,37,-164
233,298,70,-56
236,135,138,51
239,82,-95,344
242,188,-293,297
244,222,-303,189
247,206,194,-268
250,26,428,-365
253,-63,435,-309
256,-219,87,57
259,-198,-286,273
262,-117,-150,199
265,-63,-61,50
268,-25,-28,-145
271,-35,88,-107
274,6,-41,26
277,99,31,96
280,169,-46,-33
283,160,-107,-158
286,231,-93,-143
289,215,-31,-38
292,27,-39,167
294,-101,-15,151
297,-162,29,108
300,-52,59,-32
303,-76,-35,-41
306,-117,-133,-48
309,-170,-117,24
312,-192,6,100
316,-8,24,4
319,107,65,-45
322,245,71,-160
325,232,-47,-76
328,69,-122,104
331,41,-2,82
335,8,5,31
337,46,35,-31
340,73,-45,-61
343,17,-77,-28
346,-329,138,-28
349,-375,191,7
352,-303,2,54
355,47,-350,4
358,235,-335,-39
361,303,86,-82
364,178,313,-59
367,84,-65,85
371,10,-243,113
373,23,25,-16
377,208,63,-45
380,221,152,-39
383,12,135,22
386,-161,15,93
389,-315,-84,112
392,-243,-178,9
395,-24,-43,-181
398,35,7,-157
401,70,-239,-42
404,-23,-142,104
407,-60,9,111
411,128,-22,46
414,245,55,-176
417,249,41,-161
420,141,163,-54
423,-115,142,58
426,-149,-133,176
430,-114,-113,114
433,-36,15,2
436,26,-59,-56
439,12,-85,-124
442,-50,-119,-106
445,-41,-109,-69
448,82,-86,50
451,156,-51,104
453,214,146,125
456,226,252,77
459,176,228,25
462,79,96,-21
465,-84,-310,-64
468,-121,-243,-60
471,-97,94,-16
474,-97,151,31
477,-107,91,56
479,-102,-77,20
482,-103,-214,4
485,-118,-238,-48
488,-63,-121,-72
491,30,163,-73
494,238,175,72
497,256,48,91
500,209,-114,48
503,76,-98,-55
506,33,-19,-64
509,11,55,-14
512,47,78,-3
515,75,108,15
517,-49,69,47
520,-128,-19,52
523,-166,-137,52
527,-108,-121,-14
530,0,-6,-73
533,56,40,-84
536,94,50,-50
538,128,-138,70
541,106,-204,115
544,82,-56,98
547,43,29,-30
550,46,126,-66
553,35,67,-40
556,-17,31,-12
559,-63,-60,28
562,-151,-123,48
565,-159,-97,41
568,-96,115,-10
571,-13,46,-47
574,35,-83,-63
577,102,-163,-15
580,109,-202,25
583,72,26,61
586,103,93,52
588,164,69,34
591,200,42,-55
594,148,10,-81
597,91,-48,-77
600,-114,0,-3
603,-172,-5,54
606,-109,-28,89
609,-51,21,75
612,-12,-17,44
615,-8,-36,-35
618,-62,-77,-71
621,-100,-150,-34
624,-31,-149,1
627,112,8,-5
630,142,93,-28
