0,8,-126,16
3,16,-118,22
5,13,-113,21
8,14,-65,17
12,281,-19,25
15,294,-62,29
18,214,127,50
21,187,552,16
24,110,633,-68
27,-24,669,-115
30,-12,-1136,71
33,380,-1570,168
35,282,-1261,366
38,-925,-288,199
41,-1122,16,-526
44,-787,-276,-714
47,-6,-1185,-378
50,105,-1766,-394
53,19,-895,-111
56,-93,-358,-61
59,-82,242,140
62,-39,429,506
65,-33,493,583
68,201,1087,556
71,164,1082,457
74,23,577,342
76,-354,584,463
79,-342,396,453
82,-220,-634,388
86,163,-746,-44
89,312,-629,-855
92,517,-405,-861
95,339,-135,-242
98,207,-309,80
101,144,-229,238
104,12,-135,248
107,-64,-453,211
110,-294,-108,-109
113,-353,-73,-173
116,-284,-543,-175
119,18,-604,-201
122,76,-309,-146
125,124,314,-59
128,59,440,-12
131,6,568,184
134,59,355,261
137,159,-297,219
141,223,-395,70
143,226,-256,-364
146,174,-219,-443
149,163,-346,-292
152,83,-631,208
155,18,-491,402
158,-90,-211,508
162,-328,-85,328
165,-389,88,60
168,-258,-60,-49
171,-261,-164,-120
174,-292,-116,-125
177,-257,-62,-168
180,-267,-123,-131
183,-222,-160,-34
186,82,-391,62
189,247,-387,60
192,318,-27,-64
195,313,75,-36
198,331,-40,-31
201,300,-122,80
204,229,-127,107
207,165,62,109
210,147,197,12
213,151,123,-86
216,128,-214,-77
219,50,-228,-22
222,-58,-388,10
225,-160,-347,-28
228,-180,-183,-44
231,-76,-93,12
234,-92,-141,75
237,-171,-152,131
240,-189,-188,147
243,-221,-133,140
246,-275,-174,52
249,-191,-269,-39
252,-55,-224,-110
255,39,-321,-107
259,76,-290,-26
262,105,-59,243
265,183,-40,228
268,112,19,-35
271,82,128,-170
274,41,138,-219
277,1,13,-120
280,0,-86,-29
283,155,-327,112
286,260,-396,157
289,307,-357,188
292,130,-234,87
294,48,-209,17
297,-41,-147,-48
300,-192,-155,-142
303,-239,-93,-129
307,-128,92,31
309,-62,131,132
312,-121,24,151
315,-184,-103,87
318,-194,-313,26
321,-160,-463,-78
324,-110,-408,-99
327,42,-153,-45
330,135,-74,18
333,177,-138,69
336,152,-179,81
339,156,-212,60
342,173,-38,13
345,194,146,-43
348,160,238,-86
351,62,-2,2
353,-7,-211,93
357,-79,-422,159
360,-191,-294,111
363,-155,-99,-8
366,66,-118,-175
369,100,-224,-159
372,-22,-218,97
375,-86,-236,184
378,-140,-110,172
381,-161,-4,-27
384,-72,-59,-176
387,-16,-94,-104
390,15,-262,137
394,-11,-243,182
397,-11,-46,127
400,100,-132,56
402,153,-183,-57
405,152,-30,-157
408,81,15,-93
411,2,-42,63
415,-8,-148,82
418,52,-289,-9
421,167,-285,-68
424,147,-181,-50
427,27,-200,65
430,-72,-181,111
433,-205,-145,113
436,-123,-171,75
439,-103,-129,19
442,-94,82,-41
445,-110,81,-29
448,-120,-95,21
451,-110,-236,43
454,-92,-314,43
457,10,-251,-16
460,58,-210,-48
463,78,-222,-59
466,73,-171,-20
469,102,-199,56
471,118,-129,55
474,137,22,12
477,136,147,-45
480,95,108,-21
483,52,-156,39
486,-8,-248,148
489,-15,-246,102
493,-37,-211,-51
496,27,-281,-52
499,6,-274,-10
502,-1,-248,10
505,-51,-173,25
508,-47,-101,33
511,-84,49,32
514,-116,38,23
517,-136,-53,11
520,-124,-165,13
523,-86,-180,30
526,-34,-201,33
529,9,-209,35
531,51,-289,39
534,83,-229,41
537,76,-184,-4
540,153,-56,-107
543,154,-6,-88
546,178,-8,-43
549,149,-54,58
552,106,-46,72
555,59,-85,-20
558,-62,-102,-39
561,-83,-119,-37
564,-47,-223,69
567,-31,-253,129
570,-25,-221,99
573,-41,-253,19
576,-64,-258,-52
579,-94,-200,-44
582,-84,-72,-10
585,-51,19,38
588,-45,40,50
591,-33,-82,58
594,-38,-146,35
597,-45,-268,11
600,-21,-213,-35
603,10,-149,-49
606,56,-88,-25
609,84,-126,17
612,113,-188,66
615,126,-176,45
618,123,-128,-3
621,124,-11,-52
624,119,-34,-29
627,98,-153,75
630,12,-181,79
633,-38,-195,73
